00407968	AdjustWindowRectEx	6
00407970	CharLowerA	6
00407978	BeginPaint	6
00407980	CallNextHookEx	6
00407988	CallWindowProcA	6
00407990	CallWindowProcW	6
00407998	CharLowerBuffA	6
004079a0	CharNextA	6
004079a8	CharToOemA	6
004079b0	CharUpperA	6
004079b8	CharUpperW	6
004079c0	CharUpperBuffA	6
004079c8	CharUpperBuffW	6
004079d0	CheckMenuItem	6
004079e0	ClientToScreen	6
004079e8	CloseClipboard	6
004079f0	CopyImage	6
004079f8	CreateIcon	6
00407a00	CreateMenu	6
00407a08	CreatePopupMenu	6
00407a10	DefFrameProcA	6
00407a20	DefWindowProcA	6
00407a28	DefWindowProcW	6
00407a30	DeleteMenu	6
00407a38	DestroyCaret	6
00407a40	DestroyCursor	6
00407a48	DestroyIcon	6
00407a50	DestroyMenu	6
00407a58	DestroyWindow	6
00407a60	DispatchMessageA	6
00407a68	DispatchMessageW	6
00407a70	DrawEdge	6
00407a78	DrawFocusRect	6
00407a80	DrawFrameControl	6
00407a88	DrawIcon	6
00407a90	DrawIconEx	6
00407a98	DrawMenuBar	6
00407aa0	DrawTextA	6
00407aa8	DrawTextA	6
00407ab0	DrawTextW	6
00407ab8	DrawTextExA	6
00407ac0	DrawTextExW	6
00407ac8	EmptyClipboard	6
00407ad0	EnableMenuItem	6
00407ad8	EnableScrollBar	6
00407ae0	EnableWindow	6
00407ae8	EndPaint	6
00407af0	EnumClipboardFormats	6
00407af8	EnumThreadWindows	6
00407b00	EnumWindows	6
00407b08	EqualRect	6
00407b10	FillRect	6
00407b18	FindWindowA	6
00407b20	FrameRect	6
00407b28	GetActiveWindow	6
00407b30	GetCapture	6
00407b38	GetClassInfoA	6
00407b40	GetClassInfoW	6
00407b48	GetClassNameA	6
00407b50	GetClassNameW	6
00407b58	GetClientRect	6
00407b60	GetClipboardData	6
00407b68	GetCursor	6
00407b70	GetCursorPos	6
00407b78	GetDC	6
00407b80	GetDCEx	6
00407b88	GetDesktopWindow	6
00407b90	GetFocus	6
00407b98	GetForegroundWindow	6
00407ba0	GetIconInfo	6
00407ba8	GetKeyNameTextA	6
00407bb0	GetKeyNameTextW	6
00407bb8	GetKeyState	6
00407bc0	GetKeyboardLayout	6
00407bc8	GetKeyboardLayoutList	6
00407bd0	GetKeyboardState	6
00407bd8	GetLastActivePopup	6
00407be0	GetMenu	6
00407be8	GetMenuItemCount	6
00407bf0	GetMenuItemID	6
00407bf8	GetMenuItemInfoA	6
00407c00	GetMenuItemInfoW	6
00407c08	GetMenuState	6
00407c10	GetMenuStringA	6
00407c18	GetMenuStringW	6
00407c28	GetMessageTime	6
00407c30	GetWindow	6
00407c38	GetParent	6
00407c40	GetPropA	6
00407c48	GetScrollInfo	6
00407c50	GetScrollPos	6
00407c60	GetSubMenu	6
00407c68	GetSysColor	6
00407c78	GetSystemMenu	6
00407c80	GetSystemMetrics	6
00407c88	GetTopWindow	6
00407c98	GetWindow	6
00407ca0	GetWindowDC	6
00407ca8	GetWindowLongA	6
00407cb0	GetWindowLongW	6
00407cb8	GetWindowPlacement	6
00407cc0	GetWindowRect	6
00407cc8	GetWindowTextA	6
00407cd0	GetWindowTextW	6
00407cd8	GetWindowTextLengthW	6
00407ce0	GetWindowThreadProcessId	6
00407ce8	GetWindowThreadProcessId	6
00407cf0	InflateRect	6
00407cf8	InsertMenuA	6
00407d00	InsertMenuItemA	6
00407d08	IntersectRect	6
00407d10	InvalidateRect	6
